timestep,electricity demand (kW),pv yield (kW/kW),temperature,heat_demand,heat_demand_profile
2021-11-22 02:00:00,0.1832765001508926,0.0,-0.1,36.36206484833969,0.0002606444632320753
2021-11-22 03:00:00,0.1420218058056298,0.0,-0.7,37.66516800578853,0.0002699851490381726
2021-11-22 04:00:00,0.1741691111246746,0.0,-1.2,38.63501513890944,0.0002769370448252736
2021-11-22 05:00:00,0.1667685278574627,0.0,-1.6,38.81059124232953,0.00027819558004386414
2021-11-22 06:00:00,0.1451636109670004,0.0,-1.9,38.92820814796698,0.0002790386618480673
2021-11-22 07:00:00,1.0139865590413388,0.0,-2.0,39.37646853203749,0.00028225180685733915
2021-11-22 08:00:00,1.1303010560777451,0.00393,-0.7,33.38259732501215,0.00023928754314037794
2021-11-22 09:00:00,1.103789974085491,0.00656,0.9,28.993855551699905,0.0002078288993988802
2021-11-22 10:00:00,0.1395063612408109,0.00357,3.0,22.92923166617916,0.00016435747818177202
2021-11-22 11:00:00,0.8579085866080396,0.02569,4.8,19.710443926594667,0.0001412851029978778
2021-11-22 12:00:00,0.2923070002237956,0.05276,5.6,18.69208801886033,0.00013398549473696937
2021-11-22 13:00:00,1.480585582987465,0.06355,6.1,15.475730731510646,0.0001109305411137262
2021-11-22 14:00:00,0.8146894724527988,0.0139499999999999,6.0,15.444836641971518,0.0001107090912753148
2021-11-22 15:00:00,0.2202937225341796,0.0,5.0,19.55643670780474,0.00014018117424567994
2021-11-22 16:00:00,1.1621482769436298,0.0,3.5,27.98661018568413,0.00020060893186229614
2021-11-22 17:00:00,0.2317337503221299,0.0,3.2,28.32881272578986,0.00020306185079730496
2021-11-22 18:00:00,0.2289451942019991,0.0,2.9,28.51456473766835,0.00020439332725861924
2021-11-22 19:00:00,0.2543498613569471,0.0,2.6,28.648090878275557,0.0002053504469764123
2021-11-22 20:00:00,0.2796319723341199,0.0,2.3,29.34571086997675,0.00021035100976170266
2021-11-22 21:00:00,0.1745448054419619,0.0,1.9,30.46653841242758,0.00021838513803236828
2021-11-22 22:00:00,0.1651381943808661,0.0,1.6,31.575878169106005,0.00022633692148106457
2021-11-22 23:00:00,0.184598166486952,0.0,1.3,32.811413127675664,0.0002351932762404549
2021-11-23 00:00:00,0.1461449719323053,0.0,1.3,33.1822042505012,0.00023785111906602518
2021-11-23 01:00:00,0.1844168056064181,0.0,1.4,33.09732142223621,0.00023724267619285434
2021-11-23 02:00:00,0.1598300278981528,0.0,1.4,33.12796936958969,0.00023746236167607513
2021-11-23 03:00:00,0.1947500555250382,0.0,1.4,33.13743433553853,0.0002375302068597723
2021-11-23 04:00:00,0.2077634163326688,0.0,1.4,33.017339178128026,0.0002366693608662736
2021-11-23 05:00:00,0.1455895557403564,0.0,1.4,32.58704990913653,0.0002335850333942618
2021-11-23 06:00:00,0.1663104999966092,0.0,1.4,32.080054255904265,0.00022995087206572124
2021-11-23 07:00:00,0.0933504724502562,0.06142,1.4,32.14249583483995,0.00023039845533396895
2021-11-23 08:00:00,0.1966604719797772,0.20414,1.9,31.017910185648923,0.00022233738883198578
2021-11-23 09:00:00,0.1012686110814412,0.29374,2.6,29.252462669379117,0.0002096826036276314
2021-11-23 10:00:00,0.1430058890872532,0.4383,3.4,27.10595021157916,0.00019429633253115436
2021-11-23 11:00:00,0.2874088606940373,0.3630299999999999,4.0,25.645085346794662,0.00018382480567687729
2021-11-23 12:00:00,0.2287837495591902,0.38083,4.5,24.31742788821033,0.00017430811384179919
2021-11-23 13:00:00,0.5464402782864035,0.22059,4.7,24.19884925661065,0.00017345813835462597
2021-11-23 14:00:00,0.1145114442613389,0.07235,4.6,24.94845175947152,0.0001788313134702441
2021-11-23 15:00:00,0.2154081942664254,0.0,4.2,26.26962140540474,0.00018830150045327234
2021-11-23 16:00:00,0.3923736113654237,0.0,3.7,27.558995107430505,0.00019754377307645106
2021-11-23 17:00:00,0.2519536107805041,0.0,3.8,27.03269297528099,0.00019377122227923552
2021-11-23 18:00:00,0.2377057778676352,0.0,3.9,26.341380173220067,0.0001888158696343799
2021-11-23 19:00:00,0.2447422778235543,0.0,4.0,25.67699325687297,0.0001840535226138803
2021-11-23 20:00:00,0.297409416601393,0.0,4.1,25.44705511577048,0.00018240531854147115
2021-11-23 21:00:00,0.1706088607152301,0.0,4.0,25.97949627555588,0.00018622187408840585
2021-11-23 22:00:00,0.1611318608389957,0.0,4.3,25.81703250643706,0.00018505732850846557
2021-11-23 23:00:00,0.1230516941494411,0.0,4.3,26.256626563243053,0.0001882083530020991
2021-11-24 00:00:00,0.1676221109602187,0.0,4.3,26.7140132930012,0.0001914869159540248
2021-11-24 01:00:00,0.0962004166285197,0.0,4.3,26.84473682998621,0.00019242394651792063
2021-11-24 02:00:00,0.204988166618347,0.0,4.3,26.87538477733969,0.0001926436320011414
2021-11-24 03:00:00,0.1348899168438383,0.0,4.2,27.100456100267746,0.00019425695056262004
2021-11-24 04:00:00,0.1970903884675768,0.0,4.3,26.742795651582952,0.00019169322883626577
2021-11-24 05:00:00,0.1632424722883435,0.0,4.3,26.217227200732125,0.0001879259370904566
2021-11-24 06:00:00,0.1012101668675741,0.0,4.4,25.642506775308195,0.00018380632239261392
2021-11-24 07:00:00,0.1823185831069945,0.00555,4.3,25.85864856485953,0.00018535563376848315
